dataset,model,method,protocol,adapt_pool,test_pool,seed,val_id_mae,report_mae,error
gfp,mlp,cmd,E1,T_close,T_close,42,0.2694320457577705,0.6292533816099167,
gfp,mlp,cmd,E2,U_close,T_close,42,0.28353596323728564,0.6569864293932914,
gfp,mlp,cmd,E3,U_close,T_far,42,0.28353596323728564,1.0450150948762893,
gfp,mlp,cmd,E4,U_far,T_far,42,0.48416987448930743,1.6386321841478348,
gfp,mlp,cmd,E5,T_far,T_far,42,0.47578392243385315,1.3951352925300597,
gfp,mlp,adabn,E1,T_close,T_close,42,0.31019338166713717,0.6765089336633682,
gfp,mlp,adabn,E2,U_close,T_close,42,0.3293840724825859,0.700805105626583,
gfp,mlp,adabn,E3,U_close,T_far,42,0.3293840724825859,1.0536594752669335,
gfp,mlp,adabn,E4,U_far,T_far,42,0.48320096415281294,1.4250147234201431,
gfp,mlp,adabn,E5,T_far,T_far,42,0.47701858150959014,1.3964898244142532,
gfp,mlp,pseudo_labeling,E1,T_close,T_close,42,0.2688078653216362,0.5572835144996643,
gfp,mlp,pseudo_labeling,E2,U_close,T_close,42,0.26186270081996915,0.5588770379424095,
gfp,mlp,pseudo_labeling,E3,U_close,T_far,42,0.26186270081996915,0.9524520169496536,
gfp,mlp,pseudo_labeling,E4,U_far,T_far,42,0.27818049263954164,0.9193759081363678,
gfp,mlp,pseudo_labeling,E5,T_far,T_far,42,0.27684273582696917,0.9572453798055649,
gfp,mlp,mean_teacher,E1,T_close,T_close,42,0.4559886980652809,0.9175192556977272,
gfp,mlp,mean_teacher,E2,U_close,T_close,42,0.3978536029458046,0.7983957577943802,
gfp,mlp,mean_teacher,E3,U_close,T_far,42,0.3978536029458046,1.180467065155506,
gfp,mlp,mean_teacher,E4,U_far,T_far,42,0.38662109965085983,1.202516796350479,
gfp,mlp,mean_teacher,E5,T_far,T_far,42,0.3888092858195305,1.1587287926077843,
gfp,mlp,fixmatch,E1,T_close,T_close,42,0.4898862389326096,1.0826136325597764,
gfp,mlp,fixmatch,E2,U_close,T_close,42,0.5156194988489151,1.1583329550027848,
gfp,mlp,fixmatch,E3,U_close,T_far,42,0.5156194988489151,1.7626559968590736,
gfp,mlp,fixmatch,E4,U_far,T_far,42,0.5068359800577164,1.6707583383917808,
gfp,mlp,fixmatch,E5,T_far,T_far,42,0.564069365620613,1.7852169634103776,
gfp,cnn,cmd,E1,T_close,T_close,42,0.38382908195257187,0.823122489631176,
gfp,cnn,cmd,E2,U_close,T_close,42,0.3582575958967209,0.7471197791695595,
gfp,cnn,cmd,E3,U_close,T_far,42,0.3582575958967209,1.0065447477698326,
gfp,cnn,cmd,E4,U_far,T_far,42,0.42045820283889773,1.3168236836791039,
gfp,cnn,cmd,E5,T_far,T_far,42,0.42066252732276915,1.3453266015648842,
gfp,cnn,adabn,E1,T_close,T_close,42,0.4437551931142807,0.939123470544815,
gfp,cnn,adabn,E2,U_close,T_close,42,0.44817223924398425,0.9479249554872513,
gfp,cnn,adabn,E3,U_close,T_far,42,0.44817223924398425,1.2519869470596314,
gfp,cnn,adabn,E4,U_far,T_far,42,0.5831605095863343,1.60635896474123,
gfp,cnn,adabn,E5,T_far,T_far,42,0.5787238250970841,1.5963771165013314,
gfp,cnn,pseudo_labeling,E1,T_close,T_close,42,0.4004084647297859,0.8301595517992973,
gfp,cnn,pseudo_labeling,E2,U_close,T_close,42,0.3905141648054123,0.8161239293813706,
gfp,cnn,pseudo_labeling,E3,U_close,T_far,42,0.3905141648054123,1.0885267597436905,
gfp,cnn,pseudo_labeling,E4,U_far,T_far,42,0.43430443334579466,1.3648314098119736,
gfp,cnn,pseudo_labeling,E5,T_far,T_far,42,0.4241954936385155,1.3153320325016975,
gfp,cnn,mean_teacher,E1,T_close,T_close,42,0.4569875831604004,1.0512746906876564,
gfp,cnn,mean_teacher,E2,U_close,T_close,42,0.4617074699401855,1.0631941518187522,
gfp,cnn,mean_teacher,E3,U_close,T_far,42,0.4617074699401855,1.5957019361257554,
gfp,cnn,mean_teacher,E4,U_far,T_far,42,0.4639906386137009,1.61835979115963,
gfp,cnn,mean_teacher,E5,T_far,T_far,42,0.47474282479286195,1.6317407927513123,
gfp,cnn,fixmatch,E1,T_close,T_close,42,0.4923768479824066,1.2114711909890175,
gfp,cnn,fixmatch,E2,U_close,T_close,42,0.49450854206085204,1.2164296944737434,
gfp,cnn,fixmatch,E3,U_close,T_far,42,0.49450854206085204,1.9003757405281068,
gfp,cnn,fixmatch,E4,U_far,T_far,42,0.49392266845703126,1.9000842208862305,
gfp,cnn,fixmatch,E5,T_far,T_far,42,0.49572985124588015,1.9023872877359391,
gfp,lstm,cmd,E1,T_close,T_close,42,0.6223824441432952,1.082610735952854,
gfp,lstm,cmd,E2,U_close,T_close,42,0.6238649057149888,1.0821511146426201,
gfp,lstm,cmd,E3,U_close,T_far,42,0.6238649057149888,1.600242737054825,
gfp,lstm,cmd,E4,U_far,T_far,42,0.6274368594884873,1.595148117184639,
gfp,lstm,cmd,E5,T_far,T_far,42,0.6208195507526397,1.604636638045311,
gfp,lstm,adabn,E1,T_close,T_close,42,0.6413576492071151,1.0766456488966942,
gfp,lstm,adabn,E2,U_close,T_close,42,0.6410620666742325,1.0767287576794624,
gfp,lstm,adabn,E3,U_close,T_far,42,0.6410620666742325,1.5768698559999466,
gfp,lstm,adabn,E4,U_far,T_far,42,0.6414460458755493,1.576353984951973,
gfp,lstm,adabn,E5,T_far,T_far,42,0.6420092742443084,1.5755786230564117,
gfp,lstm,pseudo_labeling,E1,T_close,T_close,42,0.6048869459629059,1.0884089422821999,
gfp,lstm,pseudo_labeling,E2,U_close,T_close,42,0.6048869459629059,1.0884089422821999,
gfp,lstm,pseudo_labeling,E3,U_close,T_far,42,0.6048869459629059,1.6279062430858613,
gfp,lstm,pseudo_labeling,E4,U_far,T_far,42,0.6048869459629059,1.6279062430858613,
gfp,lstm,pseudo_labeling,E5,T_far,T_far,42,0.6048869459629059,1.6279062430858613,
