dataset,model,method,E1,E2,E3,E4,E5,ERM_close_mae,ERM_far_mae,lift_close,lift_far,delta_close,delta_far,G_extrap,D_shift
gfp,cnn,adabn,0.939123470544815,0.9479249554872513,1.2519869470596314,1.60635896474123,1.5963771165013314,0.6951254490017891,0.9626509761810302,-0.25279950648546223,-0.6437079885601997,0.008801484942436266,0.00998184823989856,-0.35437201768159854,0.3040619915723801
gfp,cnn,cmd,0.823122489631176,0.7471197791695595,1.0065447477698326,1.3168236836791039,1.3453266015648842,0.6951254490017891,0.9626509761810302,-0.05199433016777044,-0.3541727074980736,-0.07600271046161644,-0.0285029178857803,-0.31027893590927125,0.2594249686002731
gfp,cnn,fixmatch,1.2114711909890175,1.2164296944737434,1.9003757405281068,1.9000842208862305,1.9023872877359391,0.6951254490017891,0.9626509761810302,-0.5213042454719543,-0.9374332447052003,0.004958503484725929,-0.0023030668497086015,0.0002915196418762367,0.6839460460543634
gfp,cnn,mean_teacher,1.0512746906876564,1.0631941518187522,1.5957019361257554,1.61835979115963,1.6317407927513123,0.6951254490017891,0.9626509761810302,-0.36806870281696313,-0.6557088149785997,0.011919461131095765,-0.013381001591682429,-0.02265785503387452,0.5325077843070032
gfp,cnn,pseudo_labeling,0.8301595517992973,0.8161239293813706,1.0885267597436905,1.3648314098119736,1.3153320325016975,0.6951254490017891,0.9626509761810302,-0.1209984803795815,-0.40218043363094336,-0.014035622417926774,0.049499377310276094,-0.2763046500682831,0.27240283036231994
gfp,lstm,adabn,1.0766456488966942,1.0767287576794624,1.5768698559999466,1.576353984951973,1.5755786230564117,1.0857635719180108,1.616340785264969,0.00903481423854835,0.03998680031299595,8.310878276818201e-05,0.0007753618955612662,0.0005158710479735706,0.5001410983204841
gfp,lstm,cmd,1.082610735952854,1.0821511146426201,1.600242737054825,1.595148117184639,1.604636638045311,1.0857635719180108,1.616340785264969,0.0036124572753906126,0.021192668080330046,-0.0004596213102339153,-0.00948852086067209,0.005094619870186001,0.5180916224122047
gfp,lstm,fixmatch,1.0845084734559058,1.0845097388625144,1.6107010536193849,1.604100260734558,1.6071186339855195,1.0857635719180108,1.616340785264969,0.0012538330554963117,0.012240524530410912,1.2654066086081883e-06,-0.003018373250961437,0.006600792884826845,0.5261913147568704
gfp,lstm,mean_teacher,1.0853234001994132,1.085747001707554,1.6160989524126053,1.61510191488266,1.614870760202408,1.0857635719180108,1.616340785264969,1.6570210456867684e-05,0.0012388703823089653,0.00042360150814069186,0.00023115468025203256,0.0009970375299452883,0.5303519507050514
gfp,lstm,pseudo_labeling,1.0884089422821999,1.0884089422821999,1.6279062430858613,1.6279062430858613,1.6279062430858613,1.0857635719180108,1.616340785264969,-0.0026453703641891035,-0.011565457820892355,0.0,0.0,0.0,0.5394973008036614
gfp,mlp,adabn,0.6765089336633682,0.700805105626583,1.0536594752669335,1.4250147234201431,1.3964898244142532,0.5246483364701271,0.9003456476330757,-0.17615676915645595,-0.5246690757870675,0.024296171963214874,0.028524899005889948,-0.37135524815320964,0.35285436964035044
gfp,mlp,cmd,0.6292533816099167,0.6569864293932914,1.0450150948762893,1.6386321841478348,1.3951352925300597,0.5246483364701271,0.9003456476330757,-0.13233809292316434,-0.7382865365147592,0.02773304778337471,0.2434968916177751,-0.5936170892715456,0.38802866548299786
gfp,mlp,fixmatch,1.0826136325597764,1.1583329550027848,1.7626559968590736,1.6707583383917808,1.7852169634103776,0.5246483364701271,0.9003456476330757,-0.6336846185326577,-0.7704126907587051,0.07571932244300839,-0.11445862501859683,0.09189765846729281,0.6043230418562888
gfp,mlp,mean_teacher,0.9175192556977272,0.7983957577943802,1.180467065155506,1.202516796350479,1.1587287926077843,0.5246483364701271,0.9003456476330757,-0.2737474213242531,-0.30217114871740336,-0.11912349790334698,0.04378800374269476,-0.022049731194973,0.3820713073611258
gfp,mlp,pseudo_labeling,0.5572835144996643,0.5588770379424095,0.9524520169496536,0.9193759081363678,0.9572453798055649,0.5246483364701271,0.9003456476330757,-0.03422870147228241,-0.01903026050329215,0.001593523442745215,-0.037869471669197075,0.03307610881328582,0.39357497900724414
