dataset,model,method,protocol,mut_dist,report_mae_mean,report_mae_std,mean_std_abs_error,n_samples,n_seeds
gfp,cnn,adabn,E1,4,0.8502213116946404,,0.8122921512273169,1323.0,1
gfp,cnn,adabn,E1,5,1.1128569360673868,,0.816129032632402,677.0,1
gfp,cnn,adabn,E2,4,0.8582895102144099,,0.8156168563904105,1323.0,1
gfp,cnn,adabn,E2,5,1.1230914164857286,,0.8186035431065765,677.0,1
gfp,cnn,adabn,E3,6,1.2519061748299167,,0.7811723475705591,919.0,1
gfp,cnn,adabn,E3,7,1.281554440399269,,0.7378262129168388,539.0,1
gfp,cnn,adabn,E3,8,1.245969462084071,,0.7538696855207343,307.0,1
gfp,cnn,adabn,E3,9,1.273086917131467,,0.6979792802640628,133.0,1
gfp,cnn,adabn,E3,10,0.9917643759399652,,0.6945136935985514,64.0,1
gfp,cnn,adabn,E3,11,1.012338399887085,,0.7657855775220064,17.0,1
gfp,cnn,adabn,E3,12,1.0379558801651,,0.8303287630087914,10.0,1
gfp,cnn,adabn,E3,13,1.905388444662094,,0.7691620612533591,8.0,1
gfp,cnn,adabn,E3,14,1.8171678185462952,,1.4673295617103577,2.0,1
gfp,cnn,adabn,E3,15,0.9414163827896118,,0.0,1.0,1
gfp,cnn,adabn,E4,6,1.588768220829886,,0.7795660553962094,919.0,1
gfp,cnn,adabn,E4,7,1.672052163361176,,0.7042874029995367,539.0,1
gfp,cnn,adabn,E4,8,1.6162779381686778,,0.7307054643558581,307.0,1
gfp,cnn,adabn,E4,9,1.666250779216451,,0.6926612571242015,133.0,1
gfp,cnn,adabn,E4,10,1.236203184351325,,0.7160461912844629,64.0,1
gfp,cnn,adabn,E4,11,1.4494711721644682,,0.6724383624718112,17.0,1
gfp,cnn,adabn,E4,12,1.1993107318878171,,0.5772668889089805,10.0,1
gfp,cnn,adabn,E4,13,1.5705097764730451,,0.6533177382380797,8.0,1
gfp,cnn,adabn,E4,14,1.674214005470276,,0.4054539203643799,2.0,1
gfp,cnn,adabn,E4,15,1.9315105676651,,0.0,1.0,1
gfp,cnn,adabn,E5,6,1.579691105101651,,0.7804780121255049,919.0,1
gfp,cnn,adabn,E5,7,1.6611780750950549,,0.7069053478728962,539.0,1
gfp,cnn,adabn,E5,8,1.6051794476928465,,0.7327290562968073,307.0,1
gfp,cnn,adabn,E5,9,1.656197448422138,,0.6931440253293262,133.0,1
gfp,cnn,adabn,E5,10,1.2247223369777205,,0.7158820124334216,64.0,1
gfp,cnn,adabn,E5,11,1.4373749073813944,,0.6731993542481576,17.0,1
gfp,cnn,adabn,E5,12,1.188658308982849,,0.5858722877160079,10.0,1
gfp,cnn,adabn,E5,13,1.577613040804863,,0.6473349002746396,8.0,1
gfp,cnn,adabn,E5,14,1.6750164031982422,,0.4341102838516235,2.0,1
gfp,cnn,adabn,E5,15,1.9036506414413448,,0.0,1.0,1
gfp,cnn,cmd,E1,4,0.7424287895136319,,0.7549804619175913,1323.0,1
gfp,cnn,cmd,E1,5,0.980814905075062,,0.7715239724881613,677.0,1
gfp,cnn,cmd,E2,4,0.6745451794189661,,0.7029881412886325,1323.0,1
gfp,cnn,cmd,E2,5,0.8889457695241164,,0.7262659709157612,677.0,1
gfp,cnn,cmd,E3,6,1.0001846820407905,,0.7095178599284534,919.0,1
gfp,cnn,cmd,E3,7,1.0037954132278244,,0.6751692072732981,539.0,1
gfp,cnn,cmd,E3,8,1.0251527364556874,,0.693560330951946,307.0,1
gfp,cnn,cmd,E3,9,1.0106124393922045,,0.6675138280214931,133.0,1
gfp,cnn,cmd,E3,10,0.9534407388418912,,0.6449961957819901,64.0,1
gfp,cnn,cmd,E3,11,0.8569730590371525,,0.6323729846773473,17.0,1
gfp,cnn,cmd,E3,12,0.8984452486038208,,0.9071947689525937,10.0,1
gfp,cnn,cmd,E3,13,1.886468663811684,,0.8183365533136034,8.0,1
gfp,cnn,cmd,E3,14,1.953581929206848,,1.7490153312683103,2.0,1
gfp,cnn,cmd,E3,15,0.1685855388641357,,0.0,1.0,1
gfp,cnn,cmd,E4,6,1.299751956652246,,0.7532104907338759,919.0,1
gfp,cnn,cmd,E4,7,1.3845356481637052,,0.6761777875902735,539.0,1
gfp,cnn,cmd,E4,8,1.3389572099288043,,0.7014727834311874,307.0,1
gfp,cnn,cmd,E4,9,1.336508423762214,,0.6553817176423007,133.0,1
gfp,cnn,cmd,E4,10,0.9364235308021308,,0.6561217857671012,64.0,1
gfp,cnn,cmd,E4,11,1.1964428144342758,,0.6122488456837867,17.0,1
gfp,cnn,cmd,E4,12,1.055206823348999,,0.4286065466973879,10.0,1
gfp,cnn,cmd,E4,13,1.2669117897748947,,0.7193633650590608,8.0,1
gfp,cnn,cmd,E4,14,0.819310188293457,,0.0184606313705444,2.0,1
gfp,cnn,cmd,E4,15,1.4985042810440063,,0.0,1.0,1
gfp,cnn,cmd,E5,6,1.3087643995897296,,0.6837748570746902,919.0,1
gfp,cnn,cmd,E5,7,1.4156637485925254,,0.5989912784063391,539.0,1
gfp,cnn,cmd,E5,8,1.3948401302002151,,0.611829273446336,307.0,1
gfp,cnn,cmd,E5,9,1.3825837983224625,,0.58396042831331,133.0,1
gfp,cnn,cmd,E5,10,1.0819090940058231,,0.5744337108198299,64.0,1
gfp,cnn,cmd,E5,11,1.3034638236550724,,0.5533572854562928,17.0,1
gfp,cnn,cmd,E5,12,1.0164475440979004,,0.4953516016417614,10.0,1
gfp,cnn,cmd,E5,13,1.013510674238205,,0.8607126264646389,8.0,1
gfp,cnn,cmd,E5,14,0.7999355792999268,,0.4422165155410766,2.0,1
gfp,cnn,cmd,E5,15,1.4828952550888062,,0.0,1.0,1
gfp,cnn,fixmatch,E1,4,1.0599122825933962,,0.9706182143430284,1323.0,1
gfp,cnn,fixmatch,E1,5,1.5076490873071962,,0.9141867393745432,677.0,1
gfp,cnn,fixmatch,E2,4,1.0644816429616824,,0.9725023672567225,1323.0,1
gfp,cnn,fixmatch,E2,5,1.5133680580637832,,0.9158312675734896,677.0,1
gfp,cnn,fixmatch,E3,6,1.77741448132076,,0.7590721260115351,919.0,1
gfp,cnn,fixmatch,E3,7,1.9743916924234224,,0.5490530225994551,539.0,1
gfp,cnn,fixmatch,E3,8,2.0230205338630305,,0.4522387635584742,307.0,1
gfp,cnn,fixmatch,E3,9,2.0605686203877727,,0.3911081620231,133.0,1
gfp,cnn,fixmatch,E3,10,2.0179593358188868,,0.3115208921797924,64.0,1
gfp,cnn,fixmatch,E3,11,2.163927470936495,,0.1492802727976423,17.0,1
